State,1939,1949,1959,1969,1979,1989,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Illinois,1700.0,3458.0,5814,9789.0,18271.0,33912.0,36461.0,38632.0,39387.0,41041.0,41008.0,43686.0,45361.0,47312.0,46486.0,48053.0,50000.0,51289.0,54230.0,55629.0,57819.0,60474.0,62787.0,62077.0,63005.0,66053.0,59113.0,60124.0,61083.0,61342.0,61602.0,65776.0,66600.0,68305.0,69300.0
Indiana,1433.0,3401.0,5542,9239.0,16256.0,31905.0,34006.0,35066.0,35712.0,36516.0,37805.0,40062.0,41014.0,42501.0,41850.0,43055.0,44195.0,45097.0,45791.0,46851.0,47255.0,48508.0,49198.0,49986.0,50407.0,51629.0,51456.0,50644.0,50502.0,50715.0,50554.0,54846.0,50937.0,51508.0,52194.0
Iowa,1017.0,2420.0,4030,8779.0,15776.0,27619.0,29202.0,30130.0,30760.0,31511.0,32376.0,34477.0,35326.0,36209.0,35678.0,36479.0,38230.0,38921.0,39432.0,40347.0,40877.0,46664.0,48969.0,50547.0,50634.0,51037.0,51528.0,51662.0,52862.0,54416.0,55443.0,56790.0,58140.0,58917.0,58911.0
Kansas,1014.0,2628.0,4450,7811.0,14513.0,30154.0,30731.0,32863.0,33919.0,34936.0,35518.0,38379.0,39219.0,39690.0,38453.0,39432.0,36673.0,38123.0,38623.0,39190.0,41369.0,45136.0,46987.0,46957.0,47080.0,46718.0,47464.0,48221.0,48990.0,49197.0,47984.0,50403.0,49800.0,52554.0,53932.0
Kentucky,826.0,1936.0,3327,7325.0,15350.0,27482.0,30870.0,31115.0,31625.0,32257.0,33018.0,35560.0,36222.0,37251.0,36380.0,37234.0,37847.0,38981.0,40240.0,41002.0,41903.0,47207.0,49539.0,48354.0,50038.0,49730.0,50326.0,50705.0,51093.0,51666.0,52339.0,52952.0,53434.0,53907.0,54384.0
Louisiana,1006.0,2983.0,4978,7264.0,14020.0,25036.0,25963.0,26102.0,26285.0,26574.0,26800.0,30499.0,31602.0,33943.0,33109.0,34253.0,35437.0,36878.0,37918.0,38880.0,40253.0,46964.0,49284.0,50349.0,49634.0,50179.0,51381.0,52259.0,47886.0,46733.0,50000.0,50256.0,50923.0,50217.0,51851.0
Maine,894.0,2115.0,3694,8059.0,13743.0,27831.0,30097.0,30250.0,30996.0,31856.0,32869.0,34796.0,35484.0,36125.0,35561.0,36256.0,37100.0,38121.0,39864.0,40940.0,40737.0,43397.0,44731.0,46106.0,47182.0,48283.0,48119.0,49232.0,50017.0,50229.0,51077.0,51663.0,54974.0,54967.0,57052.0
Maryland,1642.0,3594.0,5557,9885.0,18308.0,37520.0,38728.0,38753.0,39453.0,40636.0,41215.0,42988.0,43618.0,44873.0,44048.0,44997.0,46200.0,49677.0,50261.0,52331.0,54486.0,60069.0,60844.0,65333.0,65113.0,63634.0,65265.0,64868.0,64845.0,66482.0,66961.0,69761.0,70463.0,73444.0,74514.0
Massachusetts,2037.0,3338.0,5545,9347.0,18900.0,40175.0,37845.0,38774.0,40852.0,42078.0,43756.0,54244.0,55630.0,56829.0,46250.0,47523.0,50293.0,52043.0,53181.0,54596.0,56587.0,60471.0,62769.0,68000.0,71017.0,72000.0,73129.0,73736.0,74805.0,76981.0,77804.0,79710.0,82042.0,83622.0,86315.0
Michigan,1576.0,3420.0,5654,10125.0,20682.0,37286.0,41490.0,43901.0,45186.0,47412.0,49168.0,47181.0,47500.0,48207.0,48695.0,49975.0,52037.0,54071.0,54412.0,55693.0,58482.0,56096.0,57327.0,57958.0,58595.0,64879.0,61560.0,61866.0,62778.0,63878.0,62200.0,62702.0,61825.0,62185.0,64267.0
